(a) heaven on earth,20193,1
(a) method in/to your madness,23533,1
(a) penny for your thoughts,74259,1
(a) thick/thin skin,71677,1
(all) by your lonesome,31958,1
(all) for the best,11629,1
(all) in good time,54592,1
(all) in one whack,65683,1
(all) the livelong day,20863,1
(and) not before time (too),44105,1
(as) American as apple pie,24420,1
(as) big as life,38688,1
(as) blind as a bat,32105,1
(as) bold as brass,37172,1
(as) busy as a bee,6829,1
(as) clear as a bell,7043,1
(as) cute as a button,34584,1
(as) daft as a brush,27749,1
(as) dead as a doornail,28264,1
(as) dull as dishwater,7233,1
(as) dull as ditchwater,29829,1
(as) easy as ABC,32897,1
(as) flat as a pancake,27798,1
(as) free as a bird,19092,1
(as) good as gold,18424,1
(as) good as new,65348,1
(as) guilty/miserable/ugly as sin,65988,1
(as) happy as a clam,9325,1
(as) hard/tough as nails,60988,1
(as) keen as mustard,15038,1
(as) near as I can tell/figure,71710,1
(as) pleased as punch,72806,1
(as) pretty as a picture,43933,1
(as) quick as a flash,21501,1
(as) right as rain,56233,1
(as) sick as a dog,39160,1
(as) sound as a bell,49424,1
(as) sure as I'm standing here,75561,1
(as) tough as old boots,65713,1
(as) warm as toast,49228,1
(be) careful what you wish for,63199,1
(be) spoiling for,70156,1
(every) now and then,69071,1
(from) house to house,33857,1
(from) side to side,57974,1
"(get) ready, (get) set, go",43405,1
(go) jump in a/the lake,42680,1
(have) stars in your eyes,69108,1
(it's a) small world,68417,1
(just) around the corner,33591,1
(only) time will tell,61961,1
(out) on the town,75216,1
(sitting) in the catbird seat,34637,1
(somewhere) in the region of,62991,1
(stop and) smell the roses,58919,1
(the right of) first refusal,61451,1
(what) with one thing and another,55345,1
4x4,34643,1
a burr in/under the saddle,40616,1
a chapter of accidents,35798,1
a dime a dozen,12432,1
a drop in the bucket,42750,1
a fair crack of the whip,8107,1
a far cry from,38483,1
a feather in your cap,27081,1
a figure of fun,23365,1
a fish out of water,28069,1
a friend in need is a friend indeed,39812,1
a hard/tough act to follow,7498,1
a hard/tough nut (to crack),53124,1
a kick in the teeth,29880,1
a laugh a minute,25940,1
a law unto yourself,35429,1
a leopard can't change its spots,1975,1
a license to print money,523,1
a lick and a promise,11476,1
a light at the end of the tunnel,8950,1
a light bulb goes off/on,13859,1
a lump in your throat,18629,1
a mess of pottage,50771,1
a month of Sundays,35403,1
a nail in the/someone's coffin,70238,1
a name to conjure with,14386,1
a nasty piece of work,44285,1
a peg to hang something on,43970,1
a piece/slice/share of the pie,66427,1
a pig in a poke,47855,1
a poor second/third (etc.),70221,1
a price on someone's head,62048,1
a rap on/over/across the knuckles,47121,1
a red rag to a bull,64712,1
a roll of the dice,26462,1
a run for your money,54889,1
a shock to the/your system,67190,1
a shot across the/someone's bow(s),56045,1
a slip of the tongue,53382,1
a square peg in a round hole,51615,1
a stab in the back,56875,1
a stab in the dark,74814,1
a stitch in time (saves nine),63619,1
a storm in a teacup,68491,1
a stroke of genius,26546,1
a stroke of work,71376,1
a strong/weak stomach,53711,1
a taste/dose of your own medicine,21356,1
a tempest in a teapot,67946,1
a thick ear,54925,1
a thing or two,49321,1
a thorn in the/your flesh/side,59128,1
a tissue of lies,52094,1
a tough/hard row to hoe,65664,1
a twinkle in your eye,72650,1
a waste of space,53946,1
a watched pot never boils,5184,1
a wolf in sheep's clothing,63349,1
a word in someone's ear,73575,1
a word to the wise,43837,1
a world away from,71385,1
A. N. Other,3566,1
a/the squeaky wheel gets the grease/oil,59912,1
AAA,27643,1
aah,9360,1
aalii,104790,1
aardwolf,113919,1
AARP,8161,1
aba,86044,1
abaca,92590,1
abactinal,107295,1
abaft,79079,1
abalone,30998,1
abamp,98401,1
abampere,98403,1
abandon yourself to,15959,1
abarticulation,111417,1
abase,85568,1
abase yourself,26665,1
abasement,107390,1
abashed,2108,1
abashment,103739,1
abasia,110753,1
abasic,101244,1
abatable,103780,1
abate,30290,1
abatement,105196,1
abatic,101243,1
abatis,81753,1
abator,86206,1
abattis,86043,1
abattoir,36921,1
abaxial,95541,1
abaya,86042,1
abbacy,78679,1
abbatial,101248,1
abbe,79008,1
abbess,25723,1
abbr,19613,1
abcoulomb,98410,1
abdominocentesis,108375,1
abdominoplasty,103691,1
abdominous,93040,1
abdominousness,95283,1
abdominovesical,101246,1
abducens,93799,1
abducent,93914,1
abductor,87997,1
abeam,79724,1
abecedarian,86198,1
abecedarius,98673,1
abed,6884,1
abele,104921,1
abelia,105248,1
abelmosk,91471,1
aberrance,82274,1
aberrancy,110552,1
aberrant,6692,1
abet,23221,1
abetalipoproteinemia,100760,1
abetment,104754,1
abettal,104751,1
abetter,86194,1
abettor,84144,1
abeyance,102371,1
abeyant,96569,1
abfarad,98411,1
abhenry,98389,1
abiogenesis,94792,1
abiogenetic,101222,1
abiogenist,86192,1
abiotrophy,103277,1
abject,1171,1
abjection,83013,1
abjectly,112949,1
abjuration,79434,1
abjure,18055,1
abjurer,86185,1
ablactation,99870,1
ablate,107962,1
ablated,92602,1
ablation,99875,1
ablative,99063,1
ablaut,105996,1
ableism,108121,1
ablepharia,100761,1
ablism,108122,1
ablution,37992,1
ablutionary,83030,1
ably,1785,1
abnegate,84937,1
abnegation,103965,1
abnegator,86182,1
abnormalcy,110563,1
abocclusion,101595,1
abohm,98326,1
abomasal,98304,1
abomasum,85683,1
abominably,112525,1
abominate,20348,1
abominator,86183,1
aborad,114496,1
